"ucsc","hgnc_symbol","ensembl_gene_id","ensembl_transcript_id"
"uc001uor.2","SACS-AS1","ENSG00000229558","ENST00000443092"
"uc031qmw.1","GPC6-AS2","ENSG00000224394","ENST00000445540"
"uc021rli.1","RNA5SP35","ENSG00000212559","ENST00000391257"
"uc001uos.3","LINC00327","ENSG00000232977","ENST00000443778"
"uc021rlm.1","RNA5SP36","ENSG00000222129","ENST00000410197"
"uc001vmb.1","SOX21-AS1","ENSG00000227640","ENST00000438290"
"uc001uoy.3","C1QTNF9B-AS1","ENSG00000205861","ENST00000382133"
"uc009zzx.3","C1QTNF9B-AS1","ENSG00000205861","ENST00000435039"
"uc031qmx.1","CLDN10-AS1","ENSG00000223392","ENST00000416909"
"uc001vmo.4","DNAJC3-AS1","ENSG00000247400","ENST00000499499"
"uc021rhh.1","MIR2276","ENSG00000252695","ENST00000516886"
"uc031qkt.1","SPATA13-AS1","ENSG00000227213","ENST00000430733"
"uc001upk.3","LINC00566","ENSG00000261498","ENST00000561557"
"uc021rlo.1","RN7SL164P","ENSG00000242614","ENST00000482613"
"uc001upo.3","TPTE2P6","ENSG00000205822","ENST00000440905"
"uc001upn.3","TPTE2P6","ENSG00000205822","ENST00000450973"
"uc031qmy.1","LINC00359","ENSG00000243300","ENST00000606237"
"uc001upx.4","TPTE2P1","ENSG00000253771","ENST00000429698"
"uc021rls.1","RN7SKP8","ENSG00000222969","ENST00000411037"
"uc021rlt.1","MIR3170","ENSG00000263399","ENST00000582699"
"uc001vny.2","UBAC2-AS1","ENSG00000228889","ENST00000426037"
"uc001vnx.2","UBAC2-AS1","ENSG00000228889","ENST00000445737"
"uc021rlx.1","RN7SKP9","ENSG00000201793","ENST00000364923"
"uc021rmb.1","MIR623","ENSG00000207719","ENST00000384986"
"uc021rmc.1","MIR4306","ENSG00000263615","ENST00000583390"
"uc001urb.2","SNORD102","ENSG00000207500","ENST00000384769"
"uc001urc.1","SNORA27","ENSG00000207051","ENST00000384323"
"uc031qna.1","PCCA-AS1","ENSG00000234650","ENST00000451662"
"uc031qnb.1","NALCN-AS1","ENSG00000233009","ENST00000457843"
"uc021rme.1","MIR2681","ENSG00000265164","ENST00000581814"
"uc021rmf.1","MIR4705","ENSG00000264482","ENST00000577547"
"uc031qkw.1","LINC00297","ENSG00000224329","ENST00000453470"
"uc001vph.2","FGF14-IT1","ENSG00000243319","ENST00000607251"
"uc001vpg.2","FGF14-IT1","ENSG00000243319","ENST00000437115"
"uc010aav.3","LINC00544","ENSG00000122043","ENST00000400540"
"uc010aav.3","LINC00544","ENSG00000122043","ENST00000380640"
