"entrez_id","gene_symbol","pathway"
"10327","AKR1A1","Glycolysis"
"124","ADH1A","Glycolysis"
"125","ADH1B","Glycolysis"
"126","ADH1C","Glycolysis"
"127","ADH4","Glycolysis"
"128","ADH5","Glycolysis"
"130","ADH6","Glycolysis"
"130589","GALM","Glycolysis"
"131","ADH7","Glycolysis"
"160287","LDHAL6A","Glycolysis"
"1737","DLAT","Glycolysis"
"1738","DLD","Glycolysis"
"2023","ENO1","Glycolysis"
"2026","ENO2","Glycolysis"
"2027","ENO3","Glycolysis"
"217","ALDH2","Glycolysis"
"218","ALDH3A1","Glycolysis"
"219","ALDH1B1","Glycolysis"
"2203","FBP1","Glycolysis"
"221","ALDH3B1","Glycolysis"
"222","ALDH3B2","Glycolysis"
"223","ALDH9A1","Glycolysis"
"224","ALDH3A2","Glycolysis"
"226","ALDOA","Glycolysis"
"229","ALDOB","Glycolysis"
"230","ALDOC","Glycolysis"
"2538","G6PC1","Glycolysis"
"2597","GAPDH","Glycolysis"
"26330","GAPDHS","Glycolysis"
"2645","GCK","Glycolysis"
"2821","GPI","Glycolysis"
"3098","HK1","Glycolysis"
"3099","HK2","Glycolysis"
"3101","HK3","Glycolysis"
"387712","ENO4","Glycolysis"
"3939","LDHA","Glycolysis"
"3945","LDHB","Glycolysis"
"3948","LDHC","Glycolysis"
"441531","PGAM4","Glycolysis"
"501","ALDH7A1","Glycolysis"
"5105","PCK1","Glycolysis"
"5106","PCK2","Glycolysis"
"5160","PDHA1","Glycolysis"
"5161","PDHA2","Glycolysis"
"5162","PDHB","Glycolysis"
"5211","PFKL","Glycolysis"
"5213","PFKM","Glycolysis"
"5214","PFKP","Glycolysis"
"5223","PGAM1","Glycolysis"
"5224","PGAM2","Glycolysis"
"5230","PGK1","Glycolysis"
"5232","PGK2","Glycolysis"
"5236","PGM1","Glycolysis"
"5313","PKLR","Glycolysis"
"5315","PKM","Glycolysis"
"55276","PGM2","Glycolysis"
"55902","ACSS2","Glycolysis"
"57818","G6PC2","Glycolysis"
"669","BPGM","Glycolysis"
"7167","TPI1","Glycolysis"
"80201","HKDC1","Glycolysis"
"83440","ADPGK","Glycolysis"
"84532","ACSS1","Glycolysis"
"8789","FBP2","Glycolysis"
"92483","LDHAL6B","Glycolysis"
"92579","G6PC3","Glycolysis"
"9562","MINPP1","Glycolysis"
"1431","CS","TCA_cycle"
"1737","DLAT","TCA_cycle"
"1738","DLD","TCA_cycle"
"1743","DLST","TCA_cycle"
"2271","FH","TCA_cycle"
"3417","IDH1","TCA_cycle"
"3418","IDH2","TCA_cycle"
"3419","IDH3A","TCA_cycle"
"3420","IDH3B","TCA_cycle"
