"","entrez_id","gene_symbol","pathway"
"1","102723796","TLE7","Notch"
"2","10683","DLL3","Notch"
"3","11317","RBPJL","Notch"
"4","113878","DTX2","Notch"
"5","1387","CREBBP","Notch"
"6","1487","CTBP1","Notch"
"7","1488","CTBP2","Notch"
"8","151636","DTX3L","Notch"
"9","171558","PTCRA","Notch"
"10","182","JAG1","Notch"
"11","1840","DTX1","Notch"
"12","1855","DVL1","Notch"
"13","1856","DVL2","Notch"
"14","1857","DVL3","Notch"
"15","196403","DTX3","Notch"
"16","2033","EP300","Notch"
"17","22938","SNW1","Notch"
"18","23013","SPEN","Notch"
"19","23220","DTX4","Notch"
"20","23385","NCSTN","Notch"
"21","23462","HEY1","Notch"
"22","23493","HEY2","Notch"
"23","2648","KAT2A","Notch"
"24","26508","HEYL","Notch"
"25","28514","DLL1","Notch"
"26","3065","HDAC1","Notch"
"27","3066","HDAC2","Notch"
"28","3280","HES1","Notch"
"29","342371","ATXN1L","Notch"
"30","3516","RBPJ","Notch"
"31","3714","JAG2","Notch"
"32","388585","HES5","Notch"
"33","3955","LFNG","Notch"
"34","4242","MFNG","Notch"
"35","441478","NRARP","Notch"
"36","4851","NOTCH1","Notch"
"37","4853","NOTCH2","Notch"
"38","4854","NOTCH3","Notch"
"39","4855","NOTCH4","Notch"
"40","51107","APH1A","Notch"
"41","54567","DLL4","Notch"
"42","55534","MAML3","Notch"
"43","55851","PSENEN","Notch"
"44","5663","PSEN1","Notch"
"45","5664","PSEN2","Notch"
"46","5986","RFNG","Notch"
"47","6310","ATXN1","Notch"
"48","6868","ADAM17","Notch"
"49","7088","TLE1","Notch"
"50","7089","TLE2","Notch"
"51","7090","TLE3","Notch"
"52","7091","TLE4","Notch"
"53","79816","TLE6","Notch"
"54","83464","APH1B","Notch"
"55","83737","ITCH","Notch"
"56","84441","MAML2","Notch"
"57","8650","NUMB","Notch"
"58","8850","KAT2B","Notch"
"59","9253","NUMBL","Notch"
"60","9541","CIR1","Notch"
"61","9612","NCOR2","Notch"
"62","9794","MAML1","Notch"
"63","10023","FRAT1","WNT"
"64","102723796","TLE7","WNT"
"65","102800317","TPTEP2-CSNK1E","WNT"
"66","10297","APC2","WNT"
"67","11197","WIF1","WNT"
"68","11211","FZD10","WNT"
"69","122011","CSNK1A1L","WNT"
"70","1387","CREBBP","WNT"
"71","144165","PRICKLE1","WNT"
"72","1452","CSNK1A1","WNT"
"73","1454","CSNK1E","WNT"
"74","1457","CSNK2A1","WNT"
"75","1459","CSNK2A2","WNT"
"76","1460","CSNK2B","WNT"
"77","147111","NOTUM","WNT"
"78","147495","APCDD1","WNT"
"79","1487","CTBP1","WNT"
"80","1488","CTBP2","WNT"
"81","1499","CTNNB1","WNT"
"82","1501","CTNND2","WNT"
"83","164284","APCDD1L","WNT"
"84","166336","PRICKLE2","WNT"
"85","1855","DVL1","WNT"
"86","1856","DVL2","WNT"
"87","1857","DVL3","WNT"
"88","2033","EP300","WNT"
"89","2239","GPC4","WNT"
"90","22943","DKK1","WNT"
"91","23002","DAAM1","WNT"
"92","23236","PLCB1","WNT"
"93","23291","FBXW11","WNT"
"94","23401","FRAT2","WNT"
"95","23411","SIRT1","WNT"
"96","23500","DAAM2","WNT"
"97","2487","FRZB","WNT"
"98","2535","FZD2","WNT"
"99","25776","CBY1","WNT"
"100","25805","BAMBI","WNT"
"101","27101","CACYBP","WNT"
"102","27121","DKK4","WNT"
"103","27123","DKK2","WNT"
"104","27130","INVS","WNT"
"105","283106","CSNK2A3","WNT"
"106","284654","RSPO1","WNT"
"107","2932","GSK3B","WNT"
"108","29964","PRICKLE4","WNT"
"109","324","APC","WNT"
"110","340419","RSPO2","WNT"
"111","343637","RSPO4","WNT"
"112","3725","JUN","WNT"
"113","387","RHOA","WNT"
"114","4007","PRICKLE3","WNT"
"115","4040","LRP6","WNT"
"116","4041","LRP5","WNT"
"117","4088","SMAD3","WNT"
"118","4089","SMAD4","WNT"
"119","4163","MCC","WNT"
"120","4316","MMP7","WNT"
"121","440193","CCDC88C","WNT"
"122","4609","MYC","WNT"
"123","4772","NFATC1","WNT"
"124","4773","NFATC2","WNT"
"125","4775","NFATC3","WNT"
"126","4776","NFATC4","WNT"
"127","4919","ROR1","WNT"
"128","4920","ROR2","WNT"
"129","50964","SOST","WNT"
"130","51176","LEF1","WNT"
"131","51384","WNT16","WNT"
